concept_name,concept_category,concept_tags,title,author,dynasty,writing_type,content,clause,emotion,is_classic,weight
雁,动物,思乡 离别 孤寂 时光流逝,次北固山下,王湾,唐,诗,"客路青山外，行舟绿水前。\n潮平两岸阔，风正一帆悬。\n海日生残夜，江春入旧年。\n乡书何处达？归雁洛阳边。",乡书何处达？归雁洛阳边,思乡,1,3
雁,,,渔家傲·秋思,范仲淹,宋,词,"塞下秋来风景异，衡阳雁去无留意。四面边声连角起，千嶂里，长烟落日孤城闭。\n浊酒一杯家万里，燕然未勒归无计。羌管悠悠霜满地，人不寐，将军白发征夫泪。",塞下秋来风景异，衡阳雁去无留意,思乡,1,3
雁,,,声声慢·寻寻觅觅,李清照,宋,词,"寻寻觅觅，冷冷清清，凄凄惨惨戚戚。乍暖还寒时候，最难将息。三杯两盏淡酒，怎敌他、晚来风急！雁过也，正伤心，却是旧时相识。\n满地黄花堆积，憔悴损，如今有谁堪摘？守着窗儿，独自怎生得黑！梧桐更兼细雨，到黄昏、点点滴滴。这次第，怎一个愁字了得！",雁过也，正伤心，却是旧时相识,孤寂,1,3
